File,Num Cities,Algorithm,Final Distance,Runtime
Qatar,10,Lin-Kernighan,1911.0,0.0007619857788085938
Qatar,10,Christofides,2099.0,0.0009400844573974609
Qatar,50,Lin-Kernighan,3746.0,0.4808812141418457
Qatar,50,Christofides,3499.0,0.006475210189819336
Qatar,100,Lin-Kernighan,5629.0,8.519880056381226
Qatar,100,Christofides,5745.0,0.05557417869567871
Qatar,194,Lin-Kernighan,9855.0,129.78591895103455
Qatar,194,Christofides,10505.0,0.28116512298583984
Uruguay,10,Lin-Kernighan,2515.0,0.001291036605834961
Uruguay,10,Christofides,2624.0,0.0007860660552978516
Uruguay,50,Lin-Kernighan,8676.0,0.5399918556213379
Uruguay,50,Christofides,9098.0,0.010411977767944336
Uruguay,100,Lin-Kernighan,13994.0,9.270056962966919
Uruguay,100,Christofides,14250.0,0.03119373321533203
Uruguay,194,Lin-Kernighan,24669.0,125.2764642238617
Uruguay,194,Christofides,24750.0,0.22514820098876953
Zimbabwe,10,Lin-Kernighan,6327.0,0.0016138553619384766
Zimbabwe,10,Christofides,7117.0,0.0004918575286865234
Zimbabwe,50,Lin-Kernighan,14183.0,0.46750688552856445
Zimbabwe,50,Christofides,15113.0,0.0072841644287109375
Zimbabwe,100,Lin-Kernighan,22168.0,9.638952255249023
Zimbabwe,100,Christofides,23282.0,0.038105010986328125
Zimbabwe,194,Lin-Kernighan,25315.0,132.44664096832275
Zimbabwe,194,Christofides,26683.0,0.26360106468200684
